2026-05-20 16:54:07 | INFO | app.api.routes | [WS] content: 's
2026-05-20 16:54:07 | INFO | app.api.routes | [WS] content:  priced
2026-05-20 16:54:07 | INFO | app.api.routes | [WS] content:  at
2026-05-20 16:54:07 | INFO | app.api.routes | [WS] content:  USD
2026-05-20 16:54:07 | INFO | app.api.routes | [WS] content:  $
2026-05-20 16:54:07 | INFO | app.api.routes | [WS] content: 318
2026-05-20 16:54:07 | INFO | app.api.routes | [WS] content: 0
2026-05-20 16:54:07 | INFO | app.api.routes | [WS] content:  and
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  has
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  a
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  rating
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  of
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content: 4
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content: .
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content: 9
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content: /
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content: 5
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  (
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content: 90
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  reviews
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content: ).
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  Highlights
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  include
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  cruising
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  down
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  the
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  Mek
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content: ong
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  Delta
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content: 's
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  water
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content: ways
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content: ,
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  exploring
2026-05-20 16:54:08 | INFO | app.api.routes | [WS] content:  Ha
